11,2,40.898,2001.335,2230838.192,1377483.919,16.8,7.4,2,14.99,0,1,113,201,5,0,3,2,0,0,0,0,peachtree,34.735,2014.005,2230830.163,1377495.497,15.8,7.2,2,0,0,2,113,215,5,0,3,1,0,0,0,0,peachtree,3300
15,2,40.571,2013.105,2230836.068,1377495.5,16,7.3,2,21.85,0,0,113,215,5,0,3,1,0,0,0,0,peachtree,-20.459,2036.02,2230772.251,1377508.808,15.8,7.2,2,22.42,2.54,0,113,215,5,0,3,1,0,0,0,0,peachtree,600
15,11,42.555,2012.19,2230838.169,1377494.9,16,7.3,2,21.85,0,2,113,215,5,0,3,1,0,0,0,0,peachtree,4.26,1987.084,2230804.169,1377464.21,16.8,7.4,2,16.16,-0.98,0,113,201,5,0,3,2,0,0,0,0,peachtree,3700
15,17,8.595,2027.171,2230802.35,1377504.494,16,7.3,2,23.14,4.59,0,113,215,5,0,3,1,0,0,0,0,peachtree,16.226,1995.243,2230814.743,1377474.124,17,7.1,2,10.45,0,0,115,201,5,0,4,3,0,0,0,0,peachtree,2000
15,19,-28.214,2036.603,2230764.494,1377508.223,16,7.3,2,22.46,4.97,0,113,215,5,0,3,1,0,0,0,0,peachtree,39.497,2014.377,2230834.812,1377496.593,16.6,7.3,2,21.57,0,2,113,215,5,0,3,1,0,0,0,0,peachtree,500
11,19,-9.4,1891.858,2230803.447,1377368.233,16.8,7.4,2,34.8,-0.16,2,113,201,0,5,4,1,0,0,0,0,peachtree,33.42,2016.606,2230828.466,1377497.866,16.6,7.3,2,21.57,0,0,113,215,5,0,3,1,0,0,0,0,peachtree,900
16,20,-3.698,190.042,2230524.43,1375740.302,16,7,2,17.13,4.23,0,102,223,1,0,3,1,0,0,0,0,peachtree,29.22,191.992,2230557.179,1375736.441,16.6,7,2,15.4,0,9999,102,223,1,0,3,1,0,0,0,0,peachtree,1300
16,25,-26.571,184.916,2230501.012,1375739.268,16,7,2,22.39,0,0,102,223,1,0,3,1,0,0,0,0,peachtree,40.101,202.99,2230569.821,1375745.358,16,7,2,14.84,0,3,102,223,0,0,3,1,0,0,0,0,peachtree,200
22,20,-10.063,156.762,2230512.321,1375708.654,16,7,2,19.98,0,0,123,202,1,0,1,1,0,0,0,0,peachtree,10.456,185.643,2230537.572,1375733.485,16.6,7,2,21.31,2.25,0,102,223,1,0,3,1,0,0,0,0,peachtree,1900
24,20,-18.537,118.43,2230497.235,1375670.78,16,6.5,2,15.91,10.53,2,123,201,0,1,1,1,0,0,0,0,peachtree,2.206,183.276,2230529.054,1375732.602,16.6,7,2,21.41,0,0,102,223,1,0,3,1,0,0,0,0,peachtree,1500
20,25,0.149,182.685,2230526.925,1375732.381,16.6,7,2,21.41,0,0,102,223,1,0,3,1,0,0,0,0,peachtree,32.247,201.277,2230561.803,1375745.046,16,7,2,15.31,7.38,0,102,223,1,0,3,1,0,0,0,0,peachtree,1400
23,20,4.275,147.131,2230524.748,1375696.667,16.5,7,2,22.57,5.62,0,123,202,1,0,1,1,0,0,0,0,peachtree,-10.14,179.715,2230516.277,1375731.278,16.6,7,2,21.45,0.71,0,102,223,1,0,3,1,0,0,0,0,peachtree,900
